Total_hectares,Vegetation_type,Adult_trees,Saplings,Shrubs,Herbaceous,Leaf_litter,Fire_regime,Type_of_fire,Size,Cause,Impact_type
60,0,10,5,10,15,10,5,2,3,0,0
1.7,0,0,0,0,0,1.7,5,2,0,1,0
47.58,0,0,0,33,14.58,0,3,2,2,8,0
15,0,0.7,0,5,9.3,0,5,1,1,8,0
12,0,0,0,1.5,6.4,4.1,5,2,1,8,0
4,0,0,1.2,1.2,0,1.6,5,2,0,11,0
24,0,0,2,0,11,11,3,2,2,14,0
22.36,0,0,0,4,2.36,16,3,2,2,14,0
30,0,0.5,9.5,5,15,0,5,2,2,14,0
0.25,1,0,0,0.25,0,0,5,2,0,0,0
1,1,0,0,1,0,0,5,2,0,0,0
4,1,0,0,2,2,0,5,2,0,0,0
1,1,0,0,1,0,0,5,2,0,0,0
1,1,0,0,1,0,0,5,2,0,0,0
1,1,0,0.5,0,0.5,0,5,2,0,0,0
3.5,1,0,0,1.5,2,0,5,2,0,0,0
3,1,0,0,1,2,0,5,2,0,0,0
1.75,1,0,0,0.75,1,0,5,2,0,0,0
1.5,1,0,0,1.5,0,0,5,2,0,0,0
4,1,0,0,0,4,0,5,2,0,0,0
4.75,1,0,0,0,1,2.75,5,2,0,0,0
2.68,1,0,0,0,1,1.68,5,2,0,0,0
20,1,0,0,10,10,0,5,2,1,0,0
6,1,0,0,3,3,0,5,2,4,0,0
2.29,1,0,2.29,0,0,0,3,2,0,1,0
1,1,0,1,0,0,0,5,2,0,1,0
1,1,0,0,1,0,0,5,2,0,1,0
2.5,1,0,0,2.5,0,0,5,2,0,1,0
1,1,0,0,0,1,0,5,2,0,1,0
20,1,0,0,0,0,20,5,2,1,1,0
1,1,0,0,1,0,0,5,2,0,4,0
2,1,0,0,2,0,0,5,2,0,5,0
0.1,1,0,0,0,0.1,0,5,2,0,5,0
0.5,1,0,0,0.5,0,0,5,2,0,5,0
3,1,0,0,2,1,0,5,2,0,5,0
1.5,1,0,0.5,0,1,0,5,2,0,5,0
1,1,0,0,0.3,0.3,0.4,5,2,0,5,0
3,1,0,0,3,0,0,5,2,0,5,0
1.6,1,0,0,0,0,1.6,5,2,0,5,0
35.73,1,0,3,20,6.43,6.3,5,2,2,5,0
3.82,1,0,0.82,3,0,0,3,2,0,6,0
1,1,0,0,1,0,0,5,2,0,7,0
5,1,0,0,2,3,0,5,2,0,7,0
3,1,0,0,1.5,1.5,0,5,2,0,7,0
1.5,1,0,0.5,1,0,0,5,2,0,7,0
1,1,0,0.5,0,0.5,0,5,2,0,7,0
1,1,0,0,1,0,0,5,2,0,7,0
1,1,0,0,1,0,0,5,2,0,7,0
3,1,0,0,1,2,0,5,2,0,7,0
3,1,0,0,2,1,0,5,2,0,7,0
2,1,0,0,2,0,0,5,2,0,11,0
1,1,0,0,0.5,0.5,0,5,2,0,11,0
17.62,1,0,0,0,0,17.62,5,2,1,14,0
3.5,2,0,0,0,3.5,0,0,2,0,0,0
1.5,2,0,0,1,0.5,0,0,2,0,0,0
0.5,2,0,0,0.5,0,0,0,2,0,0,0
2.7,2,0,0,2.7,0,0,0,2,0,0,0
4,2,0,0,0,4,0,0,2,0,0,0
1.48,2,0,0,1.48,0,0,0,2,0,0,0
3.8,2,0,0,3.8,0,0,0,2,0,0,0
4,2,0,0,4,0,0,0,2,0,0,0
1.7,2,0,0,1.7,0,0,0,2,0,0,0
4.8,2,0,0,4.8,0,0,0,2,0,0,0
1.6,2,0,0,1.6,0,0,0,2,0,0,0
4.85,2,0,0,4.85,0,0,0,2,0,0,0
2.92,2,0,0,2.92,0,0,0,2,0,0,0
1.65,2,0,0,1.65,0,0,0,2,0,0,0
14.22,2,0,0,8,6.22,0,0,2,1,0,0
10,2,0,0,0,10,0,0,2,1,0,0
25,2,0,0,15,10,0,0,2,2,0,0
28.31,2,4,3.6,18.59,0,2.12,0,2,2,0,0
26.8,2,0,0,5.36,21.44,0,0,2,2,0,0
36.3,2,0,0,36.3,0,0,0,2,2,0,0
6,2,0,0,6,0,0,0,2,4,0,0
145,2,0,0,145,0,0,0,2,5,0,0
166.6,2,0,0,130,36.6,0,0,2,5,0,0
